title,systemName
8-Bit Adventures 2,Nintendo Switch
12 Is Better Than 6,Nintendo Switch
13 Sentinels: Aegis Rim,Nintendo Switch
13 Sentinels: Aegis Rim,Nintendo Switch
13 Sentinels: Aegis Rim,Nintendo Switch
13 Sentinels: Aegis Rim,Nintendo Switch
13 Sentinels: Aegis Rim,Nintendo Switch
13 Sentinels: Aegis Rim,Nintendo Switch
20 Minutes Till Dawn,Nintendo Switch
30xx,Nintendo Switch
60 Seconds Reatomized,Nintendo Switch
80’s Overdrive,Nintendo Switch
198x,Nintendo Switch
3000th Duel,Nintendo Switch
A Boy And His Blob,Nintendo Switch
A Hat In Time,Nintendo Switch
A Highland Song,Nintendo Switch
A Juggler’s Tale,Nintendo Switch
A Little To The Left,Nintendo Switch
A Memoir Blue,Nintendo Switch
A Short Hike,Nintendo Switch
A Sketchbook About Her Sun,Nintendo Switch
Abomi Nation,Nintendo Switch
Abzu,Nintendo Switch
Ace Attorney Investigations Collection,Nintendo Switch
Ace Attorney Investigations Collection,Nintendo Switch
Ace Combat 7: Skies Unknown,Nintendo Switch
Advance Wars 1+2: Re-boot Camp,Nintendo Switch
Advance Wars 1+2: Re-Boot Camp,Nintendo Switch
Aeon Drive,Nintendo Switch
Aery Early Birds Bundle,Nintendo Switch
Aew Fight Forever,Nintendo Switch
Afterimage,Nintendo Switch
Agatha Christie – Murder On The Orient Express,Nintendo Switch
Ak-Xolotl,Nintendo Switch
Akane,Nintendo Switch
Alan Wake Remastered,Nintendo Switch
Alba,Nintendo Switch
Alex Kidd In Miracle World Dx,Nintendo Switch
Alien Hominid HD,Nintendo Switch
Alien: Isolation,Nintendo Switch
Alphadia Genesis 2,Nintendo Switch
Alwa’s Awakening,Nintendo Switch
Angry Video Game Nerd I & II Deluxe,Nintendo Switch
Animal Crossing: New Horizons,Nintendo Switch
Animal Crossing: New Horizons,Nintendo Switch
Animal Crossing: New Horizons,Nintendo Switch
Animal Crossing: New Horizons,Nintendo Switch
Animal Well,Nintendo Switch
Animal Well,Nintendo Switch
Animal Well,Nintendo Switch
Animus: Revenant,Nintendo Switch
Anno: Mutationem,Nintendo Switch
Anno: Mutationem,Nintendo Switch
Anodyne 2 : Return To Dust,Nintendo Switch
Anomaly Agent,Nintendo Switch
Anomaly Collapse,Nintendo Switch
Another Code: Recollection,Nintendo Switch
Another Code: Recollection,Nintendo Switch
Another Crab’s Treasure,Nintendo Switch
Ape Out,Nintendo Switch
Apico,Nintendo Switch
Apollo Justice: Ace Attorney Trilogy,Nintendo Switch
Aragami: Shadow Edition,Nintendo Switch
Arcade Paradise,Nintendo Switch
Arcade Tanks World: Tank Battle Simulator,Nintendo Switch
Archvale,Nintendo Switch
Arietta Of Spirits,Nintendo Switch
Arms,Nintendo Switch
Army Of Ruin,Nintendo Switch
Arrog,Nintendo Switch
Art Of Rally,Nintendo Switch
Asdivine Hearts,Nintendo Switch
Aspire: Ina’s Tale,Nintendo Switch
Assassin’s Creed 2,Nintendo Switch
Assassin’s Creed 4,Nintendo Switch
Assassin’s Creed 4,Nintendo Switch
Assassin’s Creed: The Ezio Collection,Nintendo Switch
Assassin’s Creed: The Rebel Collection,Nintendo Switch
Assassin’s Creed: The Rebel Collection,Nintendo Switch
Astalon: Tears Of The Earth,Nintendo Switch
Astalon: Tears Of The Earth,Nintendo Switch
Astebreed,Nintendo Switch
Asterix & Obelix Xxl3: The Crystal Menhir,Nintendo Switch
Asterix & Obelix Xxxl: The Ram From Hibernia,Nintendo Switch
Astlibra Revision,Nintendo Switch
Astral Ascent,Nintendo Switch
Astral Chain,Nintendo Switch
Astral Chain,Nintendo Switch
Astral Chain,Nintendo Switch
Astral Chain,Nintendo Switch
Astral Flux,Nintendo Switch
Astral Flux,Nintendo Switch
Astroneer,Nintendo Switch
Atelier Ayesha: The Alchemist of Dusk DX,Nintendo Switch
Atelier Marie Remake: The Alchemist of Salburg,Nintendo Switch
Atelier Ryza 3: Alchemist Of The End & The Secret Key,Nintendo Switch
Atelier Ryza 3: Alchemist Of The End & The Secret Key,Nintendo Switch
Atelier Ryza: Ever Darkness & The Secret Hideout,Nintendo Switch
Atelier Shallie: Alchemists of the Dusk Sea DX,Nintendo Switch
Atone: Heart Of The Elder Tree,Nintendo Switch
Avicci Invector,Nintendo Switch
Azura’s Crystals,Nintendo Switch
Azure Striker Gunvolt: Striker Pack,Nintendo Switch
Baba Is You,Nintendo Switch
Badland: Game Of The Year Edition,Nintendo Switch
Bakeru,Nintendo Switch
Balatro,Nintendo Switch
Balatro,Nintendo Switch
Balatro,Nintendo Switch
Baldo The Guardian Owls,Nintendo Switch
Baldur’s Gate And Baldur’s Gate II: Enhanced Editions,Nintendo Switch
Barbie Dreamhouse Adventures,Nintendo Switch
Bastion,Nintendo Switch
Bastion,Nintendo Switch
Bat Boy,Nintendo Switch
Batman Arkham Asylum,Nintendo Switch
Batman Arkham Asylum,Nintendo Switch
Batman Arkham Asylum,Nintendo Switch
Batman Arkham City,Nintendo Switch
Batman Arkham City,Nintendo Switch
Batman: The Telltale Series,Nintendo Switch
Battle Brothers,Nintendo Switch
Battle Chasers: Nightwar,Nintendo Switch
Battle Kid: Fortress Of Peril,Nintendo Switch
Bayonetta,Nintendo Switch
Bayonetta,Nintendo Switch
Bayonetta 2,Nintendo Switch
Bayonetta 3,Nintendo Switch
Bayonetta Origins: Cereza And The Lost Demon,Nintendo Switch
Beasts Of Maravilla Island,Nintendo Switch
Beat Cop,Nintendo Switch
Belle Boomerang,Nintendo Switch
Beyblade X Xone,Nintendo Switch
Beyblade X Xone,Nintendo Switch
Beyond A Steel Sky,Nintendo Switch
Beyond Good And Evil – 20th Anniversary Edition,Nintendo Switch
Big Helmet Heroes,Nintendo Switch
"Big Kitty, Little City",Nintendo Switch
Biomutant,Nintendo Switch
Bioshock Remastered,Nintendo Switch
Bite The Bullet,Nintendo Switch
