Game,Performance,Drive,Emulator,Update,Notes,Device
8-Bit Adventures 2,Poor,Turnip 24.3.0 9v2,Citron,1.0,Can’t get this game to launch :/ rolls immediately in to black screen,Pocket 5
12 Is Better Than 6,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Plays perfect docked mode looks amazing on oled.,Pocket 5
13 Sentinels: Aegis Rim,Perfect,Turnip 24.3.0 9v2,Citron,1.1,Handheld 1x Lock to 30 fps (50% Limit speed percent) for a smoother experience.,Pocket 5
13 Sentinels: Aegis Rim,Great,Turnip 24.1.0 R18,Citron,1.0,"Docked, 1x resolution, some dips in FPS but no crashes.",Pocket 5
13 Sentinels: Aegis Rim,Great,Turnip 24.3.0 9v2,Sudachi,1.1,"Played mostly on 1x resolution. Mostly 60 fps, would drop to 40-30 fps in battles. Dropped to 20 in the final battle. Some crashes when there would be a lot of stuff in the background. Had to drop 0.75x resolution when deleting shader cache wouldn’t work. Settings: Accuracy Level: High (to get mostly 60 fps out of battle), Window Adapting Filter: AMD Fidelity FX Super Resolution (if 0.75x res), Audio: cubeb (if audio stutters)",Pocket 5
13 Sentinels: Aegis Rim,Perfect,Turnip 24.3.0 9v2,Sudachi,Latest,"Excellent. Sometimes the audio stutters the slightest bit, but goes away on restart.",Pocket 5
13 Sentinels: Aegis Rim,Perfect,Qualcomm 0.746.0,Yuzu,1.1,"Works perfect with update, docked mode 30fps solid",Pocket 5
13 Sentinels: Aegis Rim,Great,Turnip 24.3.0 9v2,Citron,1.0,I would say this works pretty great and is ery much playable. On Suyu I had a crash but Citron seems to be working.,Pocket 5
20 Minutes Till Dawn,Perfect,Qualcomm 0.746.0,Yuzu,v1.1.1,Yuzu 278 (dc529a89a) Default for all parameters,Pocket 5
30xx,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,perfect,Pocket 5
60 Seconds Reatomized,Great,Qualcomm 0.746.0,Yuzu,1.0.2,weird game but runs 50-55fps in docked mode,Pocket 5
80’s Overdrive,Great,Qualcomm 0.746.0,Yuzu,1.1.0,Smooth 60 but minor audio stutters,Pocket 5
198x,Perfect,Turnip 24.3.0 9v2,Citron,1.0,,Pocket 5
3000th Duel,Great,Turnip 24.3.0 9v2,Citron,"Update 1.1.2, DLC 1","Only had a few bugs where the game turned black when going into the next room, and also some random crashes. Noticed bugs only happened when resuming game from sleep.",Pocket 5
A Boy And His Blob,Perfect,Qualcomm 0.746.0,Yuzu,1.0.2,Perfect 60fps,Pocket 5
A Hat In Time,Great,Qualcomm 0.746.0,Yuzu,"1.0.4 + DLC 1, 2",Almost perfect in handheld mode but a few framerate dips,Pocket 5
A Highland Song,Perfect,Qualcomm 0.746.0,Sudachi,1.2.3b,Stable between 30 and 60 FPS,Pocket 5
A Juggler’s Tale,Poor,Turnip 25.2.0 R4,Yuzu,1.0,"Tested docked and handheld, in sudachi and yuzu, with qualcomm and Turnips this game will not get into the game on any",Pocket 5
A Little To The Left,Perfect,Qualcomm 0.746.0,Yuzu,1.0,plays perfectly,Pocket 5
A Memoir Blue,Poor,Qualcomm 0.746.0,Yuzu,1.0,Tried Sudachi and Yuzu with qualcomm and Turnip but cannot get past a couple mins in game without a crash,Pocket 5
A Short Hike,Perfect,Turnip 24.3.0 9v2,Yuzu,1.9.21.1,"60 fps, Plays great!",Pocket 5
A Sketchbook About Her Sun,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Perfect 60fps in docked mode,Pocket 5
Abomi Nation,Great,Qualcomm 0.746.0,Yuzu,1.0,27fps works almost perfect in docked mode,Pocket 5
Abzu,Great,Turnip 24.3.0 9v2,Sudachi,1.0,Plays ery well,Pocket 5
Ace Attorney Investigations Collection,Perfect,Qualcomm 0.746.0,Yuzu,1.0,100% speed,Pocket 5
Ace Attorney Investigations Collection,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.0.1,play perfect,Pocket 5
Ace Combat 7: Skies Unknown,Poor,Turnip 25.0.0 R8,Sudachi,1.0,Load well and you can play 60 fps but the colors are all glitched like in a psychedelic dream…,Pocket 5
Advance Wars 1+2: Re-boot Camp,Perfect,Qualcomm 819.1,Yuzu,1.0,,Pocket 5
Advance Wars 1+2: Re-Boot Camp,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Seems to run just like it does on secret console,Pocket 5
Aeon Drive,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps docked mode,Pocket 5
Aery Early Birds Bundle,Poor,Qualcomm 0.746.0,Yuzu,1.0,Yuzu and Sudachi with Turnip 25 and Qualcom all crash,Pocket 5
Aew Fight Forever,Great,Turnip 24.3.0 9v2,Yuzu,Latest,Plays surprisingly great with latest update and DLC. Occasionally freezes for about a second during a match but nothing crazy,Pocket 5
Afterimage,Great,Turnip 24.3.0 9v2,Sudachi,1.2.0,same settings works on Yuzu and Suyu,Pocket 5
Agatha Christie – Murder On The Orient Express,Great,Qualcomm 819.1,Citron,1.1.11,"Freezes constantly and graphical glitches with System & Turnips. Runs @ 40-60fps with Qualcomm 819.1 driver, Accuracy Level : High, Resolution 1x, -Sync: Off, Disk Shader Cache: On, Force Maximum Clocks: On, Asynchronous Shaders: On",Pocket 5
Ak-Xolotl,Perfect,Turnip 24.3.0 9v2,Citron,2.0.1,,Pocket 5
Akane,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps in docked mode,Pocket 5
Alan Wake Remastered,Poor,Turnip 24.3.0 9v2,Sudachi,1.0,After the Menü Crashes in Game. Also no luck on Citron,Pocket 5
Alba,Playable,Qualcomm 0.746.0,Sudachi,1.0,"Works in handheld mode, Weird issue where sometimes it freezes and you have to swipe up from the bottom as if you are going to close the app to make it un freeze",Pocket 5
Alex Kidd In Miracle World Dx,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Alien Hominid HD,Perfect,Qualcomm 0.746.0,Yuzu,1.0,"Flawless in docked mode, looks amazing on OLED",Pocket 5
Alien: Isolation,Poor,Qualcomm 0.746.0,Yuzu,1.0/1.1.5,Did not work on Yuzu or Sudachi with either driver,Pocket 5
Alphadia Genesis 2,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.0.1,Yuzu 278 (dc529a89a) Default parameters,Pocket 5
Alwa’s Awakening,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.5.3.21,Yuzu 278 (dc529a89a) Default parameters,Pocket 5
Angry Video Game Nerd I & II Deluxe,Perfect,Qualcomm 0.746.0,Yuzu,1.3.1,Perfect 60fps in docked mode,Pocket 5
Animal Crossing: New Horizons,Perfect,Turnip 24.3.0 9v2,Citron,2.0.6 + DLC,Citron is back in development! Settings: Docked 1x Res. 30FPS Locked Turn on Force Maximum Clocks and Asynchronous Shaders If audio is stuttering/crackling change output to cubeb Everything else default.,Pocket 5
Animal Crossing: New Horizons,Perfect,Turnip 24.3.0 9v2,Citron,2.0.6 + DLC,Citron is back in development! Settings: Docked 1x Res. 30FPS Locked Turn on Force Maximum Clocks and Asynchronous Shaders If audio is stuttering/crackling change output to cubeb Everything else default.,Pocket 5
Animal Crossing: New Horizons,Perfect,Qualcomm 0.746.0,Yuzu,2.0.6,,Pocket 5
Animal Crossing: New Horizons,Perfect,Turnip 24.3.0 9v2,Yuzu,2.0.6 + all DLC,Runs locked 30fps even in Docked mode.,Pocket 5
Animal Well,Perfect,Turnip 24.3.0 9v2,Citron,"1.0,7",Citron is back in development! 60 FPS Settings: Docked 1x Res. Turn on Force Maximum Clocks and Asynchronous Shaders If audio is stuttering/crackling change output to cubeb Everything else default.,Pocket 5
Animal Well,Perfect,Turnip 24.3.0 9v2,Sudachi,1.02,Standard docked. Accuracy normal,Pocket 5
Animal Well,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,Standard mode / Docked,Pocket 5
Animus: Revenant,Great,Turnip 24.3.0 9v2,Yuzu,v1.0.5,Yuzu 278 (dc529a89a) Video precision : High,Pocket 5
Anno: Mutationem,Great,Turnip 24.3.0 9v2,Sudachi,1.05.08,"Worked great with Turnip driver and Accuracy level set to high. Opening cutscene is glitched, but after that, it runs at a stable 60fps.",Pocket 5
Anno: Mutationem,Poor,Turnip 24.3.0 9v2,Citron,1.05.08,"Menu loads, but crashes when starting the story",Pocket 5
Anodyne 2 : Return To Dust,Great,Turnip 24.3.0 9v2,Yuzu,v1.0.1,Yuzu 278 (dc529a89a) Default parameters,Pocket 5
Anomaly Agent,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,60fps,Pocket 5
Anomaly Collapse,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Worked perfectly with Qualcomm 0.746.0 but not with any Turnip drivers. Shut down after hitting “start game”,Pocket 5
Another Code: Recollection,Poor,Qualcomm 0.746.0,Citron,1.0,Crashes anytime you try to use Camera,Pocket 5
Another Code: Recollection,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,"Runs at a smooth 30 in Docked mode without a hitch. Has the occasional weird graphical artifact, but they’re rather minor.",Pocket 5
Another Crab’s Treasure,Playable,Turnip 24.1.0 R18,Citron,1.0.101.1,"*Crashes after main menu no matter what setting/driver I use at 1x, so you absolutely have to drop to .75x resolution (Both Docked or Undocked work). I had Disk Shader Cache, Force maximum clocks, and Use asynchronous shaders ticked on, as well as 16x Anisotopic filtering, AMD FidelityFX for Window adapting filter, and 100% FSR Sharpness. Everything else is default.",Pocket 5
Ape Out,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,60fps docked,Pocket 5
Apico,Perfect,Turnip 24.3.4-Unified (@Mr_Purple_666),Citron,1.3.2d,"Perfect 60 FPS like on Secret Console/PC Docked Mode ON, Accuracy Level HIGH, Disk Shader Cache ON, Asynchronous Shaders ON RP5 on Standard mode",Pocket 5
Apollo Justice: Ace Attorney Trilogy,Perfect,Turnip 24.3.0 9v2,Suyu,1.0.1,Sudachi didn’t work,Pocket 5
Aragami: Shadow Edition,Great,Qualcomm 0.746.0,Yuzu,1.0.1,Runs great handheld mode 30-60fps,Pocket 5
Arcade Paradise,Perfect,Qualcomm 0.746.0,Yuzu,1.11,Perfect 60fps in handheld mode,Pocket 5
Arcade Tanks World: Tank Battle Simulator,Great,Turnip 24.3.0 9v2,Suyu,1.0,60fps,Pocket 5
Archvale,Perfect,Qualcomm 0.746.0,Yuzu,1.0.2,Perfect 60fps in docked mode,Pocket 5
Arietta Of Spirits,Perfect,Qualcomm 0.746.0,Yuzu,1.2.8.0,Perfect 60fps in docked mode,Pocket 5
Arms,Great,Turnip 24.3.0 9v2,Citron,5.4.1,"Occasionally stuttering, FPS ranges 40-60 Docked. Some minor graphical issues (Disappears after loading)",Pocket 5
